id,name_ru,name_en,country_ru,country_en,country_code,lat,lon,population
12,Саранда,Saranda City,Албания,Albania,AL,39.883333333,20.016666666,41000
25,Шкодер,Shkodër,Албания,Albania,AL,42.066666666,19.5,76000
30,Ванадзор,Vanadzor,Армения,Armenia,AM,40.812777777,44.488333333,90525
53,Сари-Пуль,Sar-e Pol,Афганистан,Afghanistan,AF,36.221388888,65.927777777,51075
88,Бамиан,Bamyan,Афганистан,Afghanistan,AF,34.816666666,67.816666666,100000
92,Асадабад,Asadabad,Афганистан,Afghanistan,AF,34.874166666,71.152777777,48400
99,Фиери,Fier,Албания,Albania,AL,40.716666666,19.55,55845
116,Джелалабад,Jalalabad,Афганистан,Afghanistan,AF,34.430277777,70.452777777,263312
134,Баглан,Baghlan,Афганистан,Afghanistan,AF,36.132777777,68.7,83490
140,Балх,Balkh,Афганистан,Afghanistan,AF,36.758055555,66.898888888,77000
171,Абовян,Abovyan,Армения,Armenia,AM,40.273888888,44.625555555,44400
216,Кабул,Kabul,Афганистан,Afghanistan,AF,34.532777777,69.165833333,4273156
238,Влёра,Vlorë,Албания,Albania,AL,40.45,19.483333333,130827
259,Раздан,Hrazdan,Армения,Armenia,AM,40.5,44.766666666,52283
285,Меймене,Maymana,Афганистан,Afghanistan,AF,35.933333333,64.75,96000
364,Гардез,Gardēz,Афганистан,Afghanistan,AF,33.593055555,69.229722222,70000
392,Гюмри,Gyumri,Армения,Armenia,AM,40.783333333,43.833333333,121976
428,Пули-Хумри,Pul-e Khomri,Афганистан,Afghanistan,AF,35.95,68.7,113500
437,Лашкаргах,Lashkar Gah,Афганистан,Afghanistan,AF,31.593819444,64.371611111,201546
448,Чарикар,Charikar,Афганистан,Afghanistan,AF,35.016666666,69.166666666,69110
518,Фарах,Farah,Афганистан,Afghanistan,AF,32.343611111,62.119444444,54000
573,Пагман,Paghman,Афганистан,Afghanistan,AF,34.58333333,68.95,49157
622,Таринкот,Tarinkot,Афганистан,Afghanistan,AF,32.624167,65.876667,70000
638,Аджман,Ajman,Объединённые Арабские Эмираты,United Arab Emirates,AE,25.399444444,55.479722222,490035
644,Эль-Айн,Al Ain,Объединённые Арабские Эмираты,United Arab Emirates,AE,24.2075,55.744722222,766936
659,Абу-Даби,Abu Dhabi,Объединённые Арабские Эмираты,United Arab Emirates,AE,24.451111111,54.396944444,1483000
686,Шибарган,Sheberghan,Афганистан,Afghanistan,AF,36.665,65.752,175599
708,Вагаршапат,Vagharshapat,Армения,Armenia,AM,40.172777777,44.2925,57500
756,Мазари-Шариф,Mazar-i-Sharif,Афганистан,Afghanistan,AF,36.7,67.116666666,469247
779,Герат,Herat,Афганистан,Afghanistan,AF,34.34817,62.19967,556205
803,Кундуз,Kunduz,Афганистан,Afghanistan,AF,36.728888888,68.856944444,356536
810,Хост,Khost,Афганистан,Afghanistan,AF,33.333333333,69.916666666,160214
862,Талукан,Taloqan,Афганистан,Afghanistan,AF,36.716666666,69.516666666,258758
878,Файзабад,Fayzabad,Афганистан,Afghanistan,AF,37.121944444,70.583333333,44421
900,Шарджа,Sharjah,Объединённые Арабские Эмираты,United Arab Emirates,AE,25.3375,55.411944444,1247749
920,Корча,Korçë,Албания,Albania,AL,40.616666666,20.766666666,51152
953,Кандагар,Kandahar,Афганистан,Afghanistan,AF,31.61332,65.71013,614254
977,Капан,Kapan,Армения,Armenia,AM,39.201111111,46.415,43190
979,Зарандж,Zaranj,Афганистан,Afghanistan,AF,30.96,61.86,49851
1008,Рио-Гранде,Río Grande,Аргентина,Argentina,AR,-53.783333,-67.7,52681
1010,Хунин,Junín,Аргентина,Argentina,AR,-34.59391,-60.94644,87509
1014,Касерос,Caseros,Аргентина,Argentina,AR,-34.616666666,-58.533333333,95785
1016,Хенераль-Пико,General Pico,Аргентина,Argentina,AR,-35.658702825,-63.757713271,57669
1020,Сумбе,Sumbe,Ангола,Angola,AO,-11.2052,13.8417,279968
1022,Гуалегуайчу,Gualeguaychú,Аргентина,Argentina,AR,-33.007777777,-58.511111111,109461
1029,Кашито,Caxito,Ангола,Angola,AO,-8.646666666,13.664166666,77276
1040,Луанда,Luanda,Ангола,Angola,AO,-8.83682,13.23432,2487444
1048,Сан-Хусто,San Justo,Аргентина,Argentina,AR,-34.683333333,-58.55,136604
1052,Трелью,Trelew,Аргентина,Argentina,AR,-43.253333333,-65.309444444,97915
1057,Вилья-Карлос-Пас,Carlos Paz,Аргентина,Argentina,AR,-31.4,-64.516666666,62423
1066,Санта-Роса,Santa Rosa,Аргентина,Argentina,AR,-36.620277777,-64.290555555,102860
1089,Плоттьер,Plottier,Аргентина,Argentina,AR,-38.95,-68.233333333,52190
1108,Сан-Мигель-де-Тукуман,San Miguel de Tucumán,Аргентина,Argentina,AR,-26.816666666,-65.216666666,605767
1119,Эсейса,Ezeiza,Аргентина,Argentina,AR,-34.833333333,-58.516666666,160219
1125,Саэнс-Пенья,Presidencia Roque Sáenz Peña,Аргентина,Argentina,AR,-26.783333333,-60.45,101086
1141,Санто-Томе,Santo Tomé,Аргентина,Argentina,AR,-31.666666666,-60.766666666,65684
1142,Катриель,Catriel,Аргентина,Argentina,AR,-37.877777777,-67.791666666,47569
1144,Мендоса,Mendoza,Аргентина,Argentina,AR,-32.89084,-68.82717,114822
1149,Пунта-Альта,Punta Alta,Аргентина,Argentina,AR,-38.88,-62.075,58315
1151,Лубанго,Lubango,Ангола,Angola,AO,-14.916666666,13.5,903564
1155,Рио-Гальегос,Río Gallegos,Аргентина,Argentina,AR,-51.623333333,-69.216111111,115585
1156,Ндалатандо,N'dalatando,Ангола,Angola,AO,-9.3,14.91666667,161584
1159,Сан-Луис,San Luis,Аргентина,Argentina,AR,-33.299444444,-66.339166666,169947
1166,Кутраль-Ко,Cutral Co,Аргентина,Argentina,AR,-38.933333333,-69.233333333,40344
1170,Конкордия,Concordia,Аргентина,Argentina,AR,-31.392222222,-58.016944444,149450
1172,Лобиту,Lobito,Ангола,Angola,AO,-12.35,13.546388888,436467
1187,Пилар,Pilar,Аргентина,Argentina,AR,-34.45867,-58.91398,81120
1201,Сапала,Zapala,Аргентина,Argentina,AR,-38.902777777,-70.065,40472
1211,Эсперанса,Esperanza,Аргентина,Argentina,AR,-31.448888888,-60.931666666,42082
1218,Мбанза-Конго,M'banza-Kongo,Ангола,Angola,AO,-6.266666666,14.25,148000
1224,Чахари,Chajarí,Аргентина,Argentina,AR,-30.766666666,-57.983333333,45848
1236,Ресистенсия,Resistencia,Аргентина,Argentina,AR,-27.451388888,-58.986666666,298611
1244,Ла-Плата,La Plata,Аргентина,Argentina,AR,-34.933333333,-57.95,193144
1282,Олаваррия,Olavarría,Аргентина,Argentina,AR,-36.9,-60.333333333,89721
1308,Рио-Куарто,Río Cuarto,Аргентина,Argentina,AR,-33.1229869,-64.3477571,200000
1336,Хенераль-Рока,General Roca,Аргентина,Argentina,AR,-39.033333333,-67.583333333,108680
1339,Сойо,Soyo,Ангола,Angola,AO,-6.133333333,12.366666666,200920
1350,Тартагаль,Tartagal,Аргентина,Argentina,AR,-22.515,-63.799,60819
1372,Чиполлетти,Cipolletti,Аргентина,Argentina,AR,-38.933333333,-68.016666666,105482
1392,Сан-Рамон-де-ла-Нуэва-Оран,San Ramón de la Nueva Orán,Аргентина,Argentina,AR,-23.136111111,-64.322222222,74059
1394,Рио-Терсеро,Río Tercero,Аргентина,Argentina,AR,-32.1767655,-64.1129881,46421
1398,Тандиль,Tandil,Аргентина,Argentina,AR,-37.3287,-59.1369,150162
1400,Парана,Paraná,Аргентина,Argentina,AR,-31.733055555,-60.529722222,247863
1408,Консепсьон-дель-Уругвай,Concepción del Uruguay,Аргентина,Argentina,AR,-32.483333333,-58.233333333,100728
1409,Сан-Сальвадор-де-Жужуй,San Salvador de Jujuy,Аргентина,Argentina,AR,-24.185555555,-65.299444444,321789
1423,Коскин,Cosquín,Аргентина,Argentina,AR,-31.24525,-64.46574,47785
1437,Санта-Люсия,Santa Lucía Department,Аргентина,Argentina,AR,-31.53333333,-68.46666667,62729
1438,Мерседес,Mercedes,Аргентина,Argentina,AR,-34.65,-59.433333333,63284
1444,Посадас,Posadas,Аргентина,Argentina,AR,-27.366666666,-55.896944444,275988
1446,Мосамедиш,Moçâmedes,Ангола,Angola,AO,-15.195277777,12.150833333,255000
1451,Ла-Риоха,La Rioja,Аргентина,Argentina,AR,-29.413055555,-66.855833333,180995
1462,Ушуая,Ushuaia,Аргентина,Argentina,AR,-54.807222222,-68.304444444,82615
1466,Мар-дель-Плата,Mar del Plata,Аргентина,Argentina,AR,-38,-57.55,593337
1474,Кордова,Córdoba,Аргентина,Argentina,AR,-31.416666666,-64.183333333,1329604
1488,Пуэрто-Мадрин,Puerto Madryn,Аргентина,Argentina,AR,-42.7729674,-65.0366104,115353
1492,Ла-Пас,La Paz,Аргентина,Argentina,AR,-30.740555555,-59.644444444,74762
1494,Росарио,Rosario,Аргентина,Argentina,AR,-32.9575,-60.639444444,1193605
